BandGap,Volume,vand_rad_Avg,vand_rad_Min,vand_rad_Max,cov_rad_Avg,cov_rad_Min,cov_rad_Max,atom_rad_Avg,atom_rad_Min,atom_rad_Max,density_Avg,density_Min,density_Max,BandGap_class
2.45,188.76,174.33,155,210,108.67,71,144,110.0,65,155,3.93,0.81,8.65,0
3.05,188.94,174.33,155,210,108.67,71,144,110.0,65,155,3.93,0.81,8.65,1
3.16,187.61,174.33,155,210,108.67,71,144,110.0,65,155,3.93,0.81,8.65,1
0.88,316.45,176.67,139,211,116.33,107,122,120.0,100,135,4.76,1.82,7.13,0
1.73,316.78,176.67,139,211,116.33,107,122,120.0,100,135,4.76,1.82,7.13,0
1.94,316.85,176.67,139,211,116.33,107,122,120.0,100,135,4.76,1.82,7.13,0
1.15,208.75,174.67,155,211,111.67,71,144,115.0,65,155,4.93,0.81,8.65,0
2.04,209.26,174.67,155,211,111.67,71,144,115.0,65,155,4.93,0.81,8.65,0
1.73,208.27,174.67,155,211,111.67,71,144,115.0,65,155,4.93,0.81,8.65,0
1.87,365.76,186.67,180,193,123.67,107,142,128.33,100,155,5.01,1.82,7.31,0
2.16,365.24,186.67,180,193,123.67,107,142,128.33,100,155,5.01,1.82,7.31,0
2.06,365.42,186.67,180,193,123.67,107,142,128.33,100,155,5.01,1.82,7.31,0
2.62,364.04,185.67,180,193,123.33,107,142,126.67,100,155,3.94,1.82,7.31,0
2.98,363.66,185.67,180,193,123.33,107,142,126.67,100,155,3.94,1.82,7.31,0
2.89,363.64,185.67,180,193,123.33,107,142,126.67,100,155,3.94,1.82,7.31,0
1.55,405.59,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31,0
1.7,405.08,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31,0
1.67,405.22,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31,0
0.27,407.41,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31,0
0.43,406.71,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31,0
0.38,407.1,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31,0
0.15,380.71,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65,0
1.47,379.89,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65,0
1.34,379.43,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65,0
0.11,400.11,184.67,158,211,127.67,119,144,131.67,115,155,6.57,5.32,8.65,0
0.58,359.2,178.33,139,211,120.33,119,122,125.0,115,135,6.06,5.32,7.13,0
