compound,BandGap,Volume,vand_rad_Avg,vand_rad_Min,vand_rad_Max,cov_rad_Avg,cov_rad_Min,cov_rad_Max,atom_rad_Avg,atom_rad_Min,atom_rad_Max,density_Avg,density_Min,density_Max,d001,d002,d003,bandgap_SISSO
AlInAs2  ,1.55,405.59,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31,22.7694630834105,-4234.536714948767,0.001965362696322625,1.4806639188450335
AlInAs2 ,1.7,405.08,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31,22.782471869764457,-4234.536714948767,0.001965362696322625,1.4827887639744117
AlInAs2 ,1.67,405.22,187.33,184,193,127.33,119,142,131.67,115,155,5.25,2.7,7.31,22.77889682939064,-4234.536714948767,0.001965362696322625,1.4822048196371813
GaInAs2  ,0.27,407.41,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31,15.028606544645465,-2223.192170596386,0.00041569134093085125,0.38949170903990793
GaInAs2  ,0.43,406.71,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31,15.040356647511485,-2223.192170596386,0.00041569134093085125,0.391410961779189
GaInAs2  ,0.38,407.1,188.33,185,193,127.67,119,142,133.33,115,155,6.32,5.73,7.31,15.033804043918124,-2223.192170596386,0.00041569134093085125,0.3903406645622727
CdSiAs2  ,0.15,380.71,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65,21.086471189977996,-5001.974021459321,-0.000601971632321017,1.2309285651642845
CdSiAs2  ,1.47,379.89,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65,21.10536925063639,-5001.974021459321,-0.000601971632321017,1.2340153598161525
CdSiAs2  ,1.34,379.43,184.33,158,210,124.67,111,144,126.67,110,155,5.57,2.33,8.65,21.11601381376486,-5001.974021459321,-0.000601971632321017,1.2357540345474052
CdGeAs2  ,0.11,400.11,184.67,158,211,127.67,119,144,131.67,115,155,6.57,5.32,8.65,14.35539489642597,-2333.3074433047373,-0.001053983016644106,0.3149573557858305
CdGeAs2  ,0.07,399.98,184.67,158,211,127.67,119,144,131.67,115,155,6.57,5.32,8.65,14.357237473959103,-2333.3074433047373,-0.001053983016644106,0.31525832097891215
ZnGeAs2  ,0.07,358.94,178.33,139,211,120.33,119,122,125.0,115,135,6.06,5.32,7.13,14.884584065296854,-2921.344893874832,0.00014590005547057095,0.329178094498779
ZnGeAs2  ,0.58,359.2,178.33,139,211,120.33,119,122,125.0,115,135,6.06,5.32,7.13,14.880412435132836,-2921.344893874832,0.00014590005547057095,0.32849670364536654
ZnGeAs2  ,0.5,359.26,178.33,139,211,120.33,119,122,125.0,115,135,6.06,5.32,7.13,14.87945077460169,-2921.344893874832,0.00014590005547057095,0.32833962675593775
ZnSnN2  ,0.94,212.68,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31,21.214720673479828,-10219.910117913474,-0.0003455505008856985,0.9112555627646748
ZnSnN2  ,0.97,213.04,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31,21.191303902049572,-10219.910117913474,-0.0003455505008856985,0.9074306853806127
ZnSnN2  ,0.79,213.22,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31,21.179634830783023,-10219.910117913474,-0.0003455505008856985,0.9055246682802893
ZnSiAs2  ,0.78,342.27,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13,22.34192067217247,-6123.885004971806,0.0005768690466281015,1.3302913031207646
ZnSiAs2  ,1.81,342.3,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13,22.34112547816677,-6123.885004971806,0.0005768690466281015,1.3301614167452065
ZnSiAs2  ,1.95,342.28,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13,22.341655588870843,-6123.885004971806,0.0005768690466281015,1.3302480046187355
